Overall Qual,Gr Liv Area,Garage Cars,Garage Area,Total Bsmt SF,1st Flr SF,Year Built,Full Bath,Year Remod/Add,TotRms AbvGrd,Lot Area,Neighborhood,House Style,Exterior 1st,SalePrice
3,792,1.0,366.0,792.0,792,1958,1,1958,4,5470,OldTown,1Story,MetalSd,99900
5,1656,1.0,180.0,660.0,808,1916,2,1987,8,10410,OldTown,1.5Fin,HdBoard,135000
5,1352,2.0,720.0,676.0,676,1939,2,2006,7,10800,OldTown,2Story,VinylSd,149000
4,1039,1.0,281.0,405.0,717,1900,1,2003,6,8146,OldTown,2Story,MetalSd,114000
5,792,1.0,240.0,768.0,792,1924,1,2006,5,9022,OldTown,1Story,VinylSd,109500
5,1078,1.0,264.0,1054.0,1078,1925,1,1950,6,10230,OldTown,1Story,MetalSd,125000
4,2377,2.0,528.0,1313.0,1313,1915,2,1950,8,10410,OldTown,1.5Fin,MetalSd,142900
7,1690,2.0,624.0,560.0,930,1910,2,2008,5,7200,OldTown,2Story,VinylSd,156500
2,599,0.0,0.0,416.0,599,1940,1,1950,4,5400,OldTown,1Story,Stucco,59000
4,1374,1.0,338.0,840.0,840,1920,1,1950,6,5400,OldTown,1.5Fin,CBlock,105000
5,846,2.0,576.0,720.0,846,1920,1,1950,4,10800,OldTown,1Story,Wd Sdng,106000
3,725,1.0,320.0,630.0,725,1890,1,1998,4,10800,OldTown,1Story,VinylSd,78500
6,2544,3.0,907.0,1248.0,1248,1969,2,1969,12,9671,NAmes,2Story,MetalSd,190000
6,1380,1.0,364.0,1380.0,1380,1963,1,1963,6,10143,NAmes,1Story,HdBoard,154000
6,1040,2.0,480.0,1040.0,1040,1967,1,1967,6,11500,NAmes,1Story,HdBoard,163000
5,2634,4.0,968.0,1248.0,1338,1969,2,1969,12,11643,NAmes,2Story,MetalSd,200000
6,951,2.0,480.0,951.0,951,1958,1,2007,6,8010,NAmes,1Story,Wd Sdng,143500
6,1105,1.0,308.0,1105.0,1105,1957,1,1957,5,10454,NAmes,1Story,Plywood,135000
5,1306,1.0,756.0,992.0,1306,1957,1,2000,5,8712,NAmes,1Story,MetalSd,153000
6,1478,2.0,498.0,1478.0,1478,1960,2,1960,6,17600,NAmes,1Story,Wd Sdng,157500
6,1142,1.0,384.0,160.0,1142,1958,1,1958,5,9000,NAmes,1Story,Wd Sdng,113500
5,1268,1.0,288.0,832.0,1036,1949,1,1950,6,12144,NAmes,1Story,HdBoard,133000
3,1040,2.0,400.0,0.0,1040,1950,2,1950,6,8544,NAmes,1Story,BrkFace,92900
6,1133,2.0,900.0,795.0,765,1950,1,1950,5,8064,NAmes,1.5Fin,Wd Sdng,128500
4,1040,2.0,420.0,0.0,1040,1949,2,1950,6,7200,NAmes,1Story,BrkFace,90000
5,1904,1.0,240.0,1208.0,1136,1950,1,1982,7,7200,NAmes,1.5Fin,VinylSd,138000
5,1041,1.0,294.0,1041.0,1041,1958,1,1958,6,7350,NAmes,1Story,BrkFace,128000
5,1339,1.0,294.0,1029.0,1339,1958,1,1965,6,7560,NAmes,1Story,BrkFace,139000
5,732,1.0,240.0,732.0,732,1952,1,1952,4,7200,NAmes,1Story,MetalSd,118900
5,1183,1.0,288.0,528.0,1183,1959,1,1959,6,8000,NAmes,SLvl,BrkFace,138000
5,1148,1.0,672.0,1148.0,1148,1959,1,1959,6,7931,NAmes,1Story,BrkFace,132500
4,1461,1.0,384.0,832.0,832,1949,2,1996,6,10800,NAmes,1.5Fin,MetalSd,133500
6,1495,2.0,576.0,864.0,1064,1948,1,1994,6,8064,NAmes,1.5Fin,MetalSd,135000
6,1806,2.0,483.0,780.0,993,1964,1,1964,8,7570,NAmes,2Story,HdBoard,144750
5,941,2.0,564.0,941.0,941,1978,1,1978,4,8604,NAmes,SFoyer,Plywood,145000
6,1045,1.0,264.0,1045.0,1045,1963,1,1963,6,7936,NAmes,1Story,HdBoard,127000
5,894,1.0,308.0,894.0,894,1962,1,1962,5,6600,NAmes,1Story,MetalSd,109500
6,1224,1.0,210.0,818.0,818,1926,1,2004,5,3950,OldTown,1.5Fin,MetalSd,115000
5,1230,2.0,440.0,440.0,682,1910,1,1981,5,10440,OldTown,2Story,Wd Sdng,110000
6,1378,1.0,162.0,901.0,861,1935,1,1998,6,4080,OldTown,1.5Fin,Wd Sdng,128900
6,1944,2.0,324.0,972.0,972,1910,2,1950,12,10307,OldTown,2Story,Wd Sdng,103500
5,1131,1.0,200.0,676.0,676,1941,1,1950,5,5720,OldTown,1.5Fin,Wd Sdng,66500
5,1306,2.0,472.0,240.0,810,1910,1,2003,6,15660,OldTown,1.5Fin,VinylSd,130000
5,1464,0.0,0.0,504.0,764,1910,2,2002,7,9900,OldTown,2Story,VinylSd,129000
5,1558,2.0,400.0,690.0,868,1939,1,1950,7,6406,OldTown,2Story,Wd Sdng,150000
5,2372,1.0,432.0,994.0,1378,1892,2,1965,11,6600,OldTown,2Story,Wd Sdng,107500
4,1701,0.0,0.0,600.0,1101,1920,2,1950,8,7627,OldTown,2Story,AsbShng,94550
5,1960,2.0,400.0,960.0,960,1952,2,1952,10,7596,OldTown,2Story,Wd Sdng,124500
7,1389,1.0,240.0,651.0,707,1946,1,1992,6,3378,OldTown,2Story,HdBoard,135000
5,1447,0.0,0.0,801.0,801,1910,1,1950,6,10134,OldTown,1.5Fin,MetalSd,103000
4,936,2.0,576.0,936.0,936,1953,1,1953,4,6000,OldTown,1Story,MetalSd,93000
5,1328,1.0,308.0,768.0,768,1950,1,1970,6,6000,OldTown,1.5Fin,Wd Sdng,129500
5,1387,1.0,256.0,811.0,811,1954,2,1954,7,6000,OldTown,1.5Fin,Wd Sdng,93000
4,861,2.0,288.0,861.0,861,1920,1,1950,5,7404,OldTown,1Story,MetalSd,80000
2,612,1.0,308.0,0.0,612,1940,1,1950,4,5925,OldTown,1Story,MetalSd,45000
3,968,0.0,0.0,600.0,600,1910,1,1950,6,5925,OldTown,1.5Fin,VinylSd,37900
5,886,1.0,273.0,190.0,886,1938,1,1996,4,5784,OldTown,1Story,MetalSd,91300
5,792,1.0,287.0,624.0,792,1923,1,1950,5,8520,OldTown,1Story,Stucco,99500
4,1452,0.0,0.0,736.0,736,1920,2,2008,8,4456,OldTown,2Story,MetalSd,113000
4,1510,2.0,720.0,677.0,833,1910,2,1950,7,9600,OldTown,2Story,VinylSd,87500
5,1284,1.0,240.0,720.0,720,1947,1,1950,5,3500,OldTown,1.5Fin,AsbShng,110000
5,2138,2.0,360.0,849.0,1075,1898,2,1965,11,8100,OldTown,2.5Unf,AsbShng,106000
7,2640,4.0,864.0,1240.0,1320,1880,1,2003,8,11700,OldTown,2Story,Stucco,265979
6,2007,1.0,357.0,917.0,1090,1900,2,1950,8,8400,OldTown,2Story,Stucco,160000
6,1288,1.0,280.0,624.0,664,1917,1,2007,5,3600,OldTown,2Story,Stucco,119000
8,1742,2.0,424.0,916.0,916,1882,1,1986,8,17671,OldTown,2Story,Wd Sdng,168000
4,816,0.0,0.0,624.0,816,1910,1,1950,5,3300,OldTown,1Story,Stucco,58500
7,1482,2.0,324.0,650.0,832,1920,1,1988,7,9000,OldTown,2Story,VinylSd,143000
5,1022,1.0,280.0,1022.0,1022,1910,1,2006,4,7200,OldTown,1Story,MetalSd,85000
5,1869,2.0,456.0,1088.0,1188,1890,1,1996,7,8820,OldTown,1.5Fin,VinylSd,124900
6,1480,1.0,207.0,972.0,1044,1920,1,1950,6,5400,OldTown,1.5Fin,MetalSd,119000
6,1521,3.0,640.0,741.0,780,1910,1,2002,8,9720,OldTown,2Story,MetalSd,146500
4,720,0.0,0.0,720.0,720,1920,1,1950,4,7879,IDOTRR,1Story,Wd Sdng,34900
3,797,0.0,0.0,245.0,797,1900,1,1950,5,9392,IDOTRR,1Story,AsbShng,44000
5,1576,2.0,528.0,1324.0,1072,1923,1,2004,6,21384,BrkSide,2Story,Wd Sdng,223500
6,1432,1.0,216.0,1022.0,1432,1923,1,1950,6,6615,BrkSide,1Story,MetalSd,149000
7,1548,2.0,672.0,952.0,952,1925,2,2007,5,7264,BrkSide,1.5Fin,Wd Sdng,205000
5,1654,1.0,336.0,297.0,1001,1930,2,1982,7,4960,BrkSide,1.5Fin,WdShing,137000
6,952,1.0,192.0,952.0,952,1916,1,1950,4,8854,BrkSide,1.5Unf,Wd Sdng,121000
4,1324,1.0,240.0,672.0,757,1936,1,1950,6,6000,BrkSide,1.5Fin,MetalSd,128000
6,1176,2.0,624.0,698.0,786,1937,1,2000,4,6000,BrkSide,1.5Fin,MetalSd,134900
5,1348,1.0,216.0,884.0,884,1925,1,1997,5,6000,BrkSide,1.5Fin,Wd Sdng,117000
6,1412,1.0,280.0,780.0,825,1939,1,1950,6,6000,BrkSide,1.5Fin,MetalSd,132500
5,1142,1.0,320.0,468.0,822,1924,1,1950,6,6000,BrkSide,1.5Fin,Stucco,93000
6,904,1.0,180.0,884.0,904,1926,1,2004,4,6000,BrkSide,1.5Unf,Wd Sdng,119000
5,1301,2.0,440.0,1145.0,1301,1924,1,1950,5,6911,BrkSide,1Story,Wd Sdng,100000
5,1539,2.0,576.0,927.0,1067,1936,1,1950,5,6120,BrkSide,1.5Fin,Wd Sdng,141500
4,1573,1.0,240.0,884.0,989,1935,1,1995,6,6120,BrkSide,1.5Fin,AsbShng,133000
2,800,0.0,0.0,264.0,800,1936,1,1950,4,6120,BrkSide,1Story,AsbShng,60000
5,875,1.0,180.0,715.0,875,1931,1,1993,5,6120,BrkSide,1Story,Wd Sdng,105000
5,995,1.0,264.0,960.0,995,1925,1,1999,5,6120,BrkSide,1Story,MetalSd,115000
5,1582,1.0,250.0,952.0,994,1938,2,1950,6,6120,BrkSide,1.5Fin,Wd Sdng,150000
5,1072,5.0,1184.0,1072.0,1072,1925,1,1950,5,8635,BrkSide,1Story,Wd Sdng,126500
6,2134,2.0,441.0,844.0,1445,1916,2,1994,10,11888,BrkSide,2.5Unf,Wd Sdng,214500
7,2019,2.0,532.0,728.0,1136,1910,1,1993,8,11414,BrkSide,2Story,HdBoard,167500
6,1768,2.0,576.0,1048.0,1048,1915,2,1950,8,8094,OldTown,2Story,MetalSd,155000
7,1826,1.0,164.0,910.0,916,1915,1,2005,7,2500,OldTown,2Story,Stucco,155000
7,1944,1.0,216.0,672.0,1272,1915,2,1994,8,9928,OldTown,2Story,Wd Sdng,179900
6,2229,0.0,0.0,755.0,929,1912,1,1950,8,5520,OldTown,2.5Fin,Wd Sdng,104000
5,2128,0.0,0.0,1040.0,1088,1922,2,1950,11,3000,OldTown,2Story,MetalSd,62500
6,1930,1.0,316.0,720.0,1146,1927,2,1950,8,6876,IDOTRR,2Story,Plywood,149000
4,1208,2.0,539.0,780.0,848,1925,1,1950,5,6240,IDOTRR,1.5Fin,MetalSd,103000
6,1427,1.0,379.0,483.0,741,1915,1,2002,7,5775,OldTown,2Story,Wd Sdng,123000
7,1864,0.0,0.0,1020.0,978,1902,2,2000,9,5852,OldTown,2.5Unf,MetalSd,97500
6,1666,1.0,384.0,1204.0,1204,1927,1,1950,4,5160,IDOTRR,1.5Fin,MetalSd,135000
4,892,0.0,0.0,858.0,892,1923,1,1950,5,5160,IDOTRR,SFoyer,MetalSd,70000
6,1403,1.0,308.0,698.0,754,1915,1,1965,7,10320,IDOTRR,2Story,MetalSd,116000
4,704,1.0,220.0,560.0,704,1946,1,2001,4,4280,Sawyer,1Story,MetalSd,88750
5,1200,0.0,0.0,1200.0,1200,1987,3,1988,5,10800,Edwards,1Story,Plywood,179000
5,1200,0.0,0.0,1200.0,1200,1987,3,1988,5,10800,Edwards,1Story,Plywood,179000
5,1152,1.0,252.0,1152.0,1152,1978,2,1978,6,10547,Edwards,SFoyer,Plywood,159900
1,904,0.0,0.0,683.0,904,1922,0,1950,4,10020,Edwards,1Story,Wd Sdng,61000
6,1369,1.0,300.0,672.0,697,1925,2,1950,6,6629,Edwards,2Story,Wd Sdng,103600
5,1112,1.0,226.0,585.0,687,1934,2,1950,6,9780,Edwards,1.5Fin,MetalSd,63000
5,1464,2.0,480.0,520.0,1464,1963,2,1999,6,12886,Sawyer,SLvl,HdBoard,175000
5,1121,2.0,480.0,1121.0,1121,1963,1,1963,5,8816,Sawyer,1Story,VinylSd,139000
6,1683,2.0,440.0,918.0,918,1978,2,1978,7,11184,Sawyer,2Story,HdBoard,172500
5,1052,1.0,668.0,1052.0,1052,1967,1,1967,6,11625,Sawyer,1Story,HdBoard,113500
5,899,1.0,288.0,864.0,899,1967,1,2004,5,7800,Sawyer,1Story,HdBoard,130000
6,1034,2.0,504.0,456.0,1034,1978,1,1978,5,8014,Sawyer,SFoyer,Plywood,149900
5,858,2.0,576.0,858.0,858,1982,1,1982,5,7252,Sawyer,SFoyer,Wd Sdng,134900
5,860,2.0,528.0,840.0,860,1982,1,1982,4,8740,Sawyer,SFoyer,HdBoard,137000
5,1092,1.0,288.0,1092.0,1092,1962,1,1962,6,11616,Sawyer,1Story,Wd Sdng,139000
5,1774,1.0,384.0,552.0,904,1961,2,1961,8,15400,Sawyer,SLvl,HdBoard,165000
6,1138,2.0,480.0,1138.0,1138,1960,1,1960,6,15312,Sawyer,SLvl,Wd Sdng,148000
5,2071,1.0,336.0,825.0,2071,1956,1,1956,9,15584,ClearCr,SLvl,Wd Sdng,165000
2,660,0.0,0.0,0.0,660,1947,1,1950,5,9000,Sawyer,1Story,Wd Sdng,63900
4,1788,1.0,304.0,1104.0,1104,1957,1,1989,8,11250,ClearCr,1.5Fin,Wd Sdng,161500
5,1473,1.0,452.0,1437.0,1473,1968,1,2003,5,25095,ClearCr,1Story,Wd Sdng,143000
4,1229,1.0,284.0,1134.0,1229,1956,1,1956,6,17140,Edwards,1Story,VinylSd,135000
4,861,2.0,539.0,861.0,861,1940,1,1950,4,12342,Edwards,1Story,VinylSd,82500
5,1867,1.0,303.0,1617.0,1867,1955,1,1993,7,10708,ClearCr,1Story,Wd Sdng,190000
3,1733,2.0,452.0,0.0,1733,1955,2,1955,8,13680,Edwards,1Story,BrkFace,139600
4,1383,2.0,498.0,0.0,1383,1954,1,1954,6,15635,Edwards,1Story,VinylSd,122000
6,1689,2.0,480.0,1436.0,1689,1956,1,1956,7,9855,Edwards,1Story,Wd Sdng,127500
5,1073,1.0,340.0,1073.0,1073,1956,1,1956,5,9571,Edwards,1Story,MetalSd,121500
5,1276,1.0,350.0,1276.0,1276,1958,1,1958,5,9571,Edwards,1Story,BrkComm,60000
6,1639,1.0,240.0,747.0,892,1946,1,1950,6,9350,Edwards,2Story,MetalSd,154400
4,672,1.0,234.0,672.0,672,1941,1,1950,4,9340,Edwards,1Story,MetalSd,113000
5,1089,1.0,252.0,1089.0,1089,1954,1,1954,5,7440,Edwards,1Story,Wd Sdng,125000
4,845,1.0,290.0,0.0,845,1957,1,1957,5,11500,Edwards,1Story,Wd Sdng,84000
5,1049,1.0,266.0,1049.0,1049,1984,2,1984,5,4235,Edwards,1Story,HdBoard,139500
5,1716,1.0,281.0,768.0,1148,1949,1,2008,8,11409,Edwards,1.5Fin,Wd Sdng,131000
6,1258,1.0,280.0,560.0,698,1939,1,1950,6,9060,Edwards,1.5Fin,WdShing,105000
4,1510,1.0,296.0,755.0,755,1940,1,1950,7,9084,Edwards,2Story,MetalSd,108000
7,1061,2.0,462.0,1054.0,1061,1990,1,1991,4,10778,SawyerW,SLvl,HdBoard,162000
6,1338,2.0,576.0,520.0,1338,1983,1,1983,5,19255,SawyerW,SLvl,Wd Sdng,156500
8,2132,2.0,612.0,1496.0,1496,1983,1,2009,5,12327,SawyerW,1.5Fin,Wd Sdng,316600
7,2196,3.0,701.0,2158.0,2196,1990,2,1991,7,14684,SawyerW,1Story,HdBoard,271900
7,1775,2.0,425.0,740.0,1006,1993,2,1993,7,9317,SawyerW,2Story,HdBoard,213000
7,1879,2.0,473.0,1079.0,1079,1993,2,1994,8,10560,SawyerW,2Story,VinylSd,239900
8,2020,2.0,466.0,1128.0,1142,1995,2,1995,8,9828,SawyerW,2Story,VinylSd,239500
5,2016,2.0,576.0,0.0,1288,1880,1,2007,7,26400,SawyerW,2Story,HdBoard,131000
5,1535,2.0,410.0,0.0,1535,1979,2,1979,8,7018,SawyerW,1Story,HdBoard,118964
5,1224,2.0,528.0,1086.0,1224,1979,0,1979,6,7018,SawyerW,SFoyer,Plywood,153337
5,2228,2.0,720.0,0.0,1114,1979,2,1979,8,7018,SawyerW,2Story,HdBoard,147983
5,1535,2.0,400.0,0.0,1535,1979,2,1979,8,7018,SawyerW,1Story,HdBoard,118858
5,1535,2.0,400.0,0.0,1535,1979,2,1979,8,7018,SawyerW,1Story,Plywood,118858
5,2240,2.0,528.0,0.0,1120,1979,2,1979,12,7018,SawyerW,2Story,Plywood,142953
5,1229,2.0,672.0,1094.0,1229,1979,0,1979,6,7040,SawyerW,SFoyer,Plywood,148325
5,1513,2.0,400.0,0.0,1513,1979,2,1979,8,7007,SawyerW,1Story,HdBoard,113722
7,2787,4.0,820.0,1168.0,1168,2000,4,2000,8,11855,SawyerW,2Story,VinylSd,269500
7,2787,4.0,820.0,1168.0,1168,2000,4,2000,8,7939,SawyerW,2Story,VinylSd,269500
7,2787,4.0,820.0,1168.0,1168,2000,4,2000,8,7976,SawyerW,2Story,VinylSd,269500
9,1680,3.0,1138.0,1555.0,1680,2009,1,2009,8,10933,CollgCr,1Story,VinylSd,323262
8,1718,3.0,826.0,1705.0,1718,2007,2,2008,7,10637,CollgCr,1Story,VinylSd,297000
8,1630,3.0,860.0,1622.0,1630,2008,2,2008,8,10226,CollgCr,1Story,VinylSd,295493
9,1720,3.0,846.0,1720.0,1720,2008,2,2008,8,10816,CollgCr,1Story,VinylSd,332000
8,1468,3.0,904.0,1468.0,1468,2008,2,2008,6,9178,CollgCr,1Story,VinylSd,239900
8,1768,2.0,578.0,866.0,866,2007,2,2007,7,10769,CollgCr,2Story,VinylSd,212000
8,1838,2.0,524.0,1838.0,1838,2007,2,2008,7,11422,CollgCr,1Story,VinylSd,272500
9,1800,2.0,702.0,1800.0,1800,2007,2,2007,7,11923,CollgCr,1Story,VinylSd,239000
7,1604,2.0,660.0,1604.0,1604,2006,2,2006,8,8814,CollgCr,1Story,VinylSd,220000
7,1290,2.0,662.0,1282.0,1290,2007,2,2007,6,6762,CollgCr,1Story,VinylSd,200000
8,1254,3.0,810.0,1254.0,1254,2008,2,2008,5,10324,CollgCr,1Story,VinylSd,221800
7,1232,2.0,632.0,1232.0,1232,2007,2,2007,6,7314,CollgCr,1Story,VinylSd,194500
8,1498,3.0,844.0,1498.0,1498,2005,2,2006,7,11645,CollgCr,1Story,VinylSd,237000
6,1422,2.0,440.0,704.0,704,2005,2,2006,7,11646,CollgCr,2Story,VinylSd,173000
7,1644,2.0,569.0,1518.0,1644,1989,2,1989,5,12800,SawyerW,SLvl,Wd Sdng,275000
7,1759,2.0,525.0,1449.0,944,1992,2,1993,7,16698,ClearCr,2Story,VinylSd,233500
5,2126,2.0,538.0,1013.0,1160,1967,2,1967,7,28698,ClearCr,2Story,Plywood,185000
5,1040,2.0,576.0,1040.0,1040,1996,1,1996,6,12464,CollgCr,1Story,VinylSd,152000
5,990,1.0,440.0,990.0,990,1994,1,1994,5,9757,CollgCr,1Story,VinylSd,143000
6,1764,2.0,470.0,928.0,928,1997,2,1997,7,15426,CollgCr,2Story,VinylSd,231500
7,1661,2.0,550.0,799.0,827,1996,2,1996,6,10667,CollgCr,2Story,VinylSd,212000
7,1463,2.0,539.0,1463.0,1463,1998,2,1998,5,14753,CollgCr,1Story,VinylSd,207000
5,1097,2.0,672.0,1097.0,1097,1994,1,1995,6,10859,CollgCr,1Story,VinylSd,145000
5,990,2.0,480.0,990.0,990,1994,1,1995,5,8072,CollgCr,1Story,VinylSd,138000
7,1779,2.0,546.0,866.0,866,1998,2,1998,6,10400,CollgCr,2Story,VinylSd,197900
7,1501,2.0,577.0,1490.0,1501,1999,2,1999,6,10335,CollgCr,1Story,VinylSd,204000
7,1431,2.0,666.0,1431.0,1431,1999,2,1999,6,9017,CollgCr,1Story,VinylSd,192000
6,1772,2.0,492.0,928.0,928,1998,2,1998,7,8750,CollgCr,2Story,VinylSd,200000
7,1660,2.0,493.0,831.0,831,2002,2,2002,7,8935,CollgCr,2Story,VinylSd,195000
7,1573,2.0,544.0,1573.0,1573,2002,2,2002,6,9808,CollgCr,1Story,VinylSd,227000
7,1840,2.0,622.0,944.0,944,2001,2,2001,6,12420,CollgCr,2Story,VinylSd,230000
7,1430,2.0,605.0,1413.0,1430,2001,2,2002,6,16285,CollgCr,1Story,VinylSd,187100
7,1444,2.0,577.0,1431.0,1444,2002,2,2001,6,10739,CollgCr,1Story,VinylSd,203000
7,1492,2.0,608.0,1492.0,1492,2001,2,2001,6,11166,CollgCr,1Story,VinylSd,201000
5,1040,0.0,0.0,1040.0,1040,1978,2,1978,5,8430,CollgCr,1Story,HdBoard,124000
5,907,1.0,343.0,907.0,907,1978,1,1978,5,16269,CollgCr,1Story,MetalSd,140000
5,914,2.0,444.0,914.0,914,1979,1,1979,5,6950,CollgCr,1Story,HdBoard,134900
5,1040,2.0,484.0,1040.0,1040,1977,2,2008,5,8800,CollgCr,1Story,HdBoard,150500
5,864,1.0,336.0,864.0,864,1978,1,2005,6,7000,CollgCr,1Story,VinylSd,136500
5,1268,1.0,252.0,1268.0,1268,1977,1,1989,5,9286,CollgCr,1Story,HdBoard,143500
5,864,1.0,338.0,864.0,864,1972,1,1972,5,15523,CollgCr,1Story,HdBoard,133500
5,894,2.0,600.0,894.0,894,1972,1,1972,6,7200,CollgCr,1Story,MetalSd,123000
5,768,1.0,396.0,768.0,768,1972,1,2003,5,7200,CollgCr,SFoyer,WdShing,133900
5,768,2.0,396.0,768.0,768,1972,1,2007,5,8445,CollgCr,SFoyer,HdBoard,133000
7,1611,3.0,1231.0,1569.0,1611,2002,2,2002,6,11664,CollgCr,1Story,VinylSd,250000
8,2184,2.0,570.0,1068.0,1068,2003,2,2003,8,12334,CollgCr,2Story,VinylSd,254750
8,1788,2.0,522.0,1753.0,1788,2001,2,2001,7,11838,CollgCr,1Story,VinylSd,236500
8,1872,2.0,531.0,1299.0,1299,2001,2,2001,7,11885,CollgCr,2Story,VinylSd,261500
9,2153,3.0,736.0,1440.0,1476,2000,2,2000,8,11050,CollgCr,2Story,VinylSd,313000
7,1725,2.0,550.0,840.0,840,2002,2,2002,6,8749,CollgCr,2Story,VinylSd,198500
7,1870,2.0,608.0,944.0,944,2001,2,2001,6,11250,CollgCr,2Story,VinylSd,211000
8,1513,2.0,521.0,1462.0,1513,1999,2,2000,5,15750,CollgCr,1Story,VinylSd,220000
7,1504,2.0,478.0,1504.0,1504,1996,2,1996,6,11883,CollgCr,1Story,VinylSd,203000
8,1828,2.0,523.0,1822.0,1828,2002,2,2003,7,12782,CollgCr,1Story,HdBoard,279500
7,1417,2.0,511.0,1417.0,1417,1997,2,1998,7,8750,CollgCr,1Story,VinylSd,210000
7,2034,2.0,645.0,1057.0,1057,1997,2,1998,8,9375,CollgCr,2Story,VinylSd,219500
7,1716,2.0,512.0,880.0,909,1996,2,1996,7,8750,CollgCr,2Story,VinylSd,191000
7,1212,2.0,573.0,1212.0,1212,2001,2,2001,6,9100,CollgCr,1Story,VinylSd,178000
7,1630,2.0,451.0,1630.0,1630,2000,2,2001,6,9750,CollgCr,1Story,VinylSd,213000
6,848,2.0,420.0,848.0,848,2003,1,2004,4,4435,CollgCr,1Story,VinylSd,144000
6,848,2.0,420.0,848.0,848,2003,1,2003,4,4435,CollgCr,1Story,VinylSd,140000
8,1602,3.0,810.0,1578.0,1602,2007,2,2007,7,10200,CollgCr,1Story,VinylSd,293200
7,1728,2.0,572.0,864.0,864,2004,2,2004,7,9313,CollgCr,2Story,VinylSd,190000
7,1500,2.0,570.0,1500.0,1500,2004,2,2004,6,8487,CollgCr,1Story,VinylSd,190000
6,1476,2.0,540.0,738.0,738,2005,2,2005,7,8633,CollgCr,2Story,VinylSd,173500
6,1396,2.0,440.0,608.0,608,2007,2,2007,6,11069,CollgCr,2Story,VinylSd,170000
4,1126,2.0,520.0,0.0,1126,1949,2,2003,5,8777,Edwards,1Story,VinylSd,108000
5,1486,2.0,480.0,1486.0,1486,1964,1,1999,7,9937,Edwards,1Story,MetalSd,167000
4,816,1.0,288.0,816.0,816,1938,1,1958,3,8877,Edwards,1Story,MetalSd,100000
7,1922,2.0,672.0,0.0,495,2003,3,2003,7,7301,Edwards,SFoyer,HdBoard,198500
6,1426,2.0,440.0,690.0,698,1977,1,1977,6,7950,Edwards,2Story,HdBoard,159500
4,1149,1.0,544.0,1014.0,1149,1960,1,1971,7,10682,Edwards,1Story,HdBoard,127000
6,1125,1.0,352.0,1041.0,1125,1976,1,1976,6,7200,Edwards,SLvl,MetalSd,125000
9,1698,3.0,768.0,1698.0,1698,2007,2,2008,8,13286,Edwards,1Story,CemntBd,320000
6,1072,2.0,525.0,547.0,1072,2005,1,2006,5,3675,Edwards,SFoyer,VinylSd,145500
5,698,0.0,0.0,698.0,698,1947,1,2008,4,9405,Edwards,1Story,VinylSd,118000
4,876,1.0,320.0,876.0,876,1959,1,1959,5,6410,Edwards,1Story,AsbShng,85000
5,1368,1.0,195.0,1078.0,1368,1950,1,1950,6,11767,Edwards,1Story,MetalSd,120000
4,1529,1.0,240.0,0.0,1088,1945,2,1950,9,8405,Edwards,1.5Fin,WdShing,98000
5,864,0.0,0.0,864.0,864,1922,1,1950,4,4060,Edwards,1Story,Wd Sdng,99900
3,944,2.0,528.0,0.0,944,1952,1,1952,4,10206,Edwards,1Story,BrkComm,82000
5,1678,0.0,0.0,1678.0,1678,1959,2,1959,10,10926,Edwards,1Story,VinylSd,119900
5,1560,1.0,313.0,1150.0,1560,1956,1,1956,7,11767,Edwards,1Story,HdBoard,103500
4,960,1.0,288.0,672.0,960,1956,1,1956,5,8926,Edwards,1Story,AsbShng,112000
6,1196,2.0,528.0,684.0,684,1920,1,2000,7,12354,Edwards,1.5Fin,Wd Sdng,110000
5,1298,1.0,256.0,720.0,854,1941,1,1950,6,8212,Edwards,1.5Fin,Wd Sdng,122000
5,1604,2.0,660.0,984.0,984,1941,2,1960,6,10998,Edwards,1.5Fin,Wd Sdng,117000
5,1268,1.0,250.0,832.0,832,1938,1,1950,7,6300,SWISU,1.5Fin,MetalSd,160000
5,1520,1.0,281.0,793.0,848,1932,1,2000,6,4500,SWISU,1.5Fin,VinylSd,159434
2,438,1.0,246.0,290.0,438,1920,1,1950,3,8400,SWISU,1Story,Wd Sdng,60000
6,1489,1.0,240.0,778.0,944,1940,2,1950,7,9900,SWISU,1.5Fin,VinylSd,139500
7,3082,2.0,672.0,824.0,1687,1920,2,1970,12,15863,SWISU,2.5Fin,Wd Sdng,197000
6,1242,1.0,180.0,583.0,647,1935,1,1950,6,5707,SWISU,2Story,Wd Sdng,105000
4,1981,2.0,576.0,1122.0,1328,1928,2,1950,7,7804,SWISU,1.5Fin,WdShing,135000
6,1232,2.0,440.0,816.0,1232,1916,1,2000,6,8574,Crawfor,1Story,Stucco,147500
6,1608,1.0,216.0,976.0,1160,1925,2,1990,7,6171,SWISU,1.5Fin,WdShing,137450
7,1135,2.0,576.0,560.0,575,1936,1,2007,6,7200,SWISU,2Story,Wd Sdng,155000
6,1913,2.0,342.0,896.0,1172,1928,1,1950,9,7558,Crawfor,1.5Fin,BrkFace,177000
7,1477,1.0,216.0,861.0,877,1928,2,1950,6,6292,SWISU,1.5Fin,Wd Sdng,145000
7,1228,1.0,215.0,600.0,628,1918,1,1990,6,7155,Crawfor,2Story,Wd Sdng,137000
7,2080,1.0,282.0,1276.0,1276,1926,1,2004,9,10918,Crawfor,2Story,MetalSd,234000
